t_s,dev,v1,v2,v3
0.2100,disk0,872298204561408,1957444012,12396884896686944
0.2100,disk0w,1977320685568,18748606,1159715540318
0.2100,disk5,23595521865728,47524693,441769407652422
0.2100,disk5w,225980416,35966,1254168700
0.2100,disk4,28290750686208,28312108,337276630412635
0.2100,disk4w,1447483680768,1486381,589692896055
0.2100,disk8,38624294332416,62547250,672397563090113
0.2100,disk8w,4128768,601,984243925
0.2100,ram,83375308800,4356915200,276679
0.2100,cpu,14853311,21293458,512828334
0.2100,gpu,0,0,0
0.4100,disk0,872298204561408,1957444012,12396884896686944
0.4100,disk0w,1977320685568,18748606,1159715540318
0.4100,disk5,23595521865728,47524693,441769407652422
0.4100,disk5w,225980416,35966,1254168700
0.4100,disk4,28290750686208,28312108,337276630412635
0.4100,disk4w,1447483680768,1486381,589692896055
0.4100,disk8,38624294332416,62547250,672397563090113
0.4100,disk8w,4128768,601,984243925
0.4100,ram,83375308800,4356915200,276679
0.4100,cpu,14853311,21293458,512828334
0.4100,gpu,0,0,0
0.6100,disk0,872298204561408,1957444012,12396884896686944
0.6100,disk0w,1977320685568,18748606,1159715540318
0.6100,disk5,23595521865728,47524693,441769407652422
0.6100,disk5w,225980416,35966,1254168700
0.6100,disk4,28290750686208,28312108,337276630412635
0.6100,disk4w,1447483680768,1486381,589692896055
0.6100,disk8,38624294332416,62547250,672397563090113
0.6100,disk8w,4128768,601,984243925
0.6100,ram,83375308800,4356915200,276679
0.6100,cpu,14853311,21293458,512828334
0.6100,gpu,0,0,0
0.8100,disk0,872298204561408,1957444012,12396884896686944
0.8100,disk0w,1977320685568,18748606,1159715540318
0.8100,disk5,23595521865728,47524693,441769407652422
0.8100,disk5w,225980416,35966,1254168700
0.8100,disk4,28290750686208,28312108,337276630412635
0.8100,disk4w,1447483680768,1486381,589692896055
0.8100,disk8,38624294332416,62547250,672397563090113
0.8100,disk8w,4128768,601,984243925
0.8100,ram,83398901760,4356571136,276679
0.8100,cpu,14853348,21293509,512830120
0.8100,gpu,0,0,0
1.0008,disk0,872298204561408,1957444012,12396884896686944
1.0008,disk0w,1977320689664,18748607,1159715785526
1.0008,disk5,23595521865728,47524693,441769407652422
1.0008,disk5w,225980416,35966,1254168700
1.0008,disk4,28290750686208,28312108,337276630412635
1.0008,disk4w,1447483680768,1486381,589692896055
1.0008,disk8,38624294332416,62547250,672397563090113
1.0008,disk8w,4128768,601,984243925
1.0008,ram,83398901760,4356571136,276679
1.0008,cpu,14853348,21293509,512830120
1.0008,gpu,0,0,0
1.2047,disk0,872298211979264,1957444516,12396884939798314
1.2047,disk0w,1977320689664,18748607,1159715785526
1.2047,disk5,23595521865728,47524693,441769407652422
1.2047,disk5w,225980416,35966,1254168700
1.2047,disk4,28290750686208,28312108,337276630412635
1.2047,disk4w,1447483680768,1486381,589692896055
1.2047,disk8,38624294332416,62547250,672397563090113
1.2047,disk8w,4128768,601,984243925
1.2047,ram,83398901760,4356571136,276679
1.2047,cpu,14853348,21293509,512830120
1.2047,gpu,0,0,0
1.4100,disk0,872298223726592,1957447384,12396885109814647
1.4100,disk0w,1977320689664,18748607,1159715785526
1.4100,disk5,23595521865728,47524693,441769407652422
1.4100,disk5w,225980416,35966,1254168700
1.4100,disk4,28290750686208,28312108,337276630412635
1.4100,disk4w,1447483680768,1486381,589692896055
1.4100,disk8,38624294332416,62547250,672397563090113
1.4100,disk8w,4128768,601,984243925
1.4100,ram,83398901760,4356571136,276679
1.4100,cpu,14853348,21293509,512830120
1.4100,gpu,0,0,0
1.6100,disk0,872298235154432,1957450174,12396885272399183
1.6100,disk0w,1977320689664,18748607,1159715785526
1.6100,disk5,23595521865728,47524693,441769407652422
1.6100,disk5w,225980416,35966,1254168700
1.6100,disk4,28290750686208,28312108,337276630412635
1.6100,disk4w,1447483680768,1486381,589692896055
1.6100,disk8,38624294332416,62547250,672397563090113
1.6100,disk8w,4128768,601,984243925
1.6100,ram,83398901760,4356571136,276679
1.6100,cpu,14853348,21293509,512830120
1.6100,gpu,0,0,0
1.8038,disk0,872298245738496,1957452758,12396885427056534
1.8038,disk0w,1977320689664,18748607,1159715785526
1.8038,disk5,23595521865728,47524693,441769407652422
1.8038,disk5w,225980416,35966,1254168700
1.8038,disk4,28290750686208,28312108,337276630412635
1.8038,disk4w,1447483680768,1486381,589692896055
1.8038,disk8,38624294332416,62547250,672397563090113
1.8038,disk8w,4128768,601,984243925
1.8038,ram,83329662976,4357210112,276679
1.8038,cpu,14853471,21293560,512831810
1.8038,gpu,0,0,0
2.0096,disk0,872298257293312,1957455579,12396885593961744
2.0096,disk0w,1977320689664,18748607,1159715785526
2.0096,disk5,23595521865728,47524693,441769407652422
2.0096,disk5w,225980416,35966,1254168700
2.0096,disk4,28290750686208,28312108,337276630412635
2.0096,disk4w,1447483680768,1486381,589692896055
2.0096,disk8,38624294332416,62547250,672397563090113
2.0096,disk8w,4128768,601,984243925
2.0096,ram,83329662976,4357210112,276679
2.0096,cpu,14853471,21293560,512831810
2.0096,gpu,0,0,0
2.2097,disk0,872298268127232,1957458224,12396885751751688
2.2097,disk0w,1977320689664,18748607,1159715785526
2.2097,disk5,23595521865728,47524693,441769407652422
2.2097,disk5w,225980416,35966,1254168700
2.2097,disk4,28290750686208,28312108,337276630412635
2.2097,disk4w,1447483680768,1486381,589692896055
2.2097,disk8,38624294332416,62547250,672397563090113
2.2097,disk8w,4128768,601,984243925
2.2097,ram,83329662976,4357210112,276679
2.2097,cpu,14853471,21293560,512831810
2.2097,gpu,0,0,0
2.4100,disk0,872298278522880,1957460762,12396885905598709
2.4100,disk0w,1977320689664,18748607,1159715785526
2.4100,disk5,23595521865728,47524693,441769407652422
2.4100,disk5w,225980416,35966,1254168700
2.4100,disk4,28290750686208,28312108,337276630412635
2.4100,disk4w,1447483680768,1486381,589692896055
2.4100,disk8,38624294332416,62547250,672397563090113
2.4100,disk8w,4128768,601,984243925
2.4100,ram,83329662976,4357210112,276679
2.4100,cpu,14853471,21293560,512831810
2.4100,gpu,0,0,0
2.6100,disk0,872298288467968,1957463190,12396886054155048
2.6100,disk0w,1977320689664,18748607,1159715785526
2.6100,disk5,23595521865728,47524693,441769407652422
2.6100,disk5w,225980416,35966,1254168700
2.6100,disk4,28290750686208,28312108,337276630412635
2.6100,disk4w,1447483680768,1486381,589692896055
2.6100,disk8,38624294332416,62547250,672397563090113
2.6100,disk8w,4128768,601,984243925
2.6100,ram,83329662976,4357210112,276679
2.6100,cpu,14853471,21293560,512831810
2.6100,gpu,0,0,0
2.8100,disk0,872298297655296,1957465433,12396886194972862
2.8100,disk0w,1977320689664,18748607,1159715785526
2.8100,disk5,23595521865728,47524693,441769407652422
2.8100,disk5w,225980416,35966,1254168700
2.8100,disk4,28290750686208,28312108,337276630412635
2.8100,disk4w,1447483680768,1486381,589692896055
2.8100,disk8,38624294332416,62547250,672397563090113
2.8100,disk8w,4128768,601,984243925
2.8100,ram,83246301184,4402003968,276679
2.8100,cpu,14853583,21293617,512833290
2.8100,gpu,0,0,0
3.0039,disk0,872298297806848,1957465448,12396886201142607
3.0039,disk0w,1977320701952,18748610,1159715841399
3.0039,disk5,23595521865728,47524693,441769407652422
3.0039,disk5w,225980416,35966,1254168700
3.0039,disk4,28290750686208,28312108,337276630412635
3.0039,disk4w,1447488346112,1486923,589712212925
3.0039,disk8,38624749463552,62547884,672401795138144
3.0039,disk8w,4128768,601,984243925
3.0039,ram,83246301184,4402003968,276679
3.0039,cpu,14853583,21293617,512833290
3.0039,gpu,0,0,0
3.2100,disk0,872298304839680,1957465474,12396886273423017
3.2100,disk0w,1977320701952,18748610,1159715841399
3.2100,disk5,23595521865728,47524693,441769407652422
3.2100,disk5w,225980416,35966,1254168700
3.2100,disk4,28290750686208,28312108,337276630412635
3.2100,disk4w,1447488346112,1486923,589712212925
3.2100,disk8,38625469114368,62548578,672407568892868
3.2100,disk8w,4128768,601,984243925
3.2100,ram,83246301184,4402003968,276679
3.2100,cpu,14853583,21293617,512833290
3.2100,gpu,0,0,0
3.4100,disk0,872298809200640,1957467268,12396887407059483
3.4100,disk0w,1977320701952,18748610,1159715841399
3.4100,disk5,23595521865728,47524693,441769407652422
3.4100,disk5w,225980416,35966,1254168700
3.4100,disk4,28290750686208,28312108,337276630412635
3.4100,disk4w,1447488346112,1486923,589712212925
3.4100,disk8,38625469114368,62548578,672407568892868
3.4100,disk8w,4128768,601,984243925
3.4100,ram,83246301184,4402003968,276679
3.4100,cpu,14853583,21293617,512833290
3.4100,gpu,0,0,0
3.6057,disk0,872299397812224,1957468416,12396888248356016
3.6057,disk0w,1977320701952,18748610,1159715841399
3.6057,disk5,23595521865728,47524693,441769407652422
3.6057,disk5w,225980416,35966,1254168700
3.6057,disk4,28290750686208,28312108,337276630412635
3.6057,disk4w,1447488346112,1486923,589712212925
3.6057,disk8,38625469114368,62548578,672407568892868
3.6057,disk8w,4128768,601,984243925
3.6057,ram,83246301184,4402003968,276679
3.6057,cpu,14853583,21293617,512833290
3.6057,gpu,0,0,0
3.8100,disk0,872299497934848,1957468650,12396888396150521
3.8100,disk0w,1977320701952,18748610,1159715841399
3.8100,disk5,23595521865728,47524693,441769407652422
3.8100,disk5w,225980416,35966,1254168700
3.8100,disk4,28290750686208,28312108,337276630412635
3.8100,disk4w,1447488346112,1486923,589712212925
3.8100,disk8,38625469114368,62548578,672407568892868
3.8100,disk8w,4128768,601,984243925
3.8100,ram,78078558208,6823706624,276679
3.8100,cpu,14853671,21293677,512834939
3.8100,gpu,0,0,0
4.0091,disk0,872299497934848,1957468650,12396888396150521
4.0091,disk0w,1977320701952,18748610,1159715841399
4.0091,disk5,23595521865728,47524693,441769407652422
4.0091,disk5w,225980416,35966,1254168700
4.0091,disk4,28290750686208,28312108,337276630412635
4.0091,disk4w,1447488346112,1486923,589712212925
4.0091,disk8,38626641061888,62551582,672429170003499
4.0091,disk8w,4128768,601,984243925
4.0091,ram,78078558208,6823706624,276679
4.0091,cpu,14853671,21293677,512834939
4.0091,gpu,0,0,0
4.2001,disk0,872299498098688,1957468665,12396888406325142
4.2001,disk0w,1977320701952,18748610,1159715841399
4.2001,disk5,23595528148992,47524705,441769422663252
4.2001,disk5w,225980416,35966,1254168700
4.2001,disk4,28290758026240,28312115,337276638394300
4.2001,disk4w,1447488346112,1486923,589712212925
4.2001,disk8,38627891021824,62556153,672459808886030
4.2001,disk8w,4128768,601,984243925
4.2001,ram,78078558208,6823706624,276679
4.2001,cpu,14853671,21293677,512834939
4.2001,gpu,0,0,0
4.4100,disk0,872301130027008,1957471615,12396915661777229
4.4100,disk0w,1977320701952,18748610,1159715841399
4.4100,disk5,23596153567232,47525989,441786500985292
4.4100,disk5w,225980416,35966,1254168700
4.4100,disk4,28291528647680,28312863,337287493983254
4.4100,disk4w,1447488346112,1486923,589712212925
4.4100,disk8,38628775143424,62557179,672475817535135
4.4100,disk8w,4128768,601,984243925
4.4100,ram,78078558208,6823706624,276679
4.4100,cpu,14853671,21293677,512834939
4.4100,gpu,0,0,0
4.6042,disk0,872301533614080,1957472270,12396922573290971
4.6042,disk0w,1977320701952,18748610,1159715841399
4.6042,disk5,23596300761088,47526290,441789855521319
4.6042,disk5w,225980416,35966,1254168700
4.6042,disk4,28291831555072,28313158,337293084778195
4.6042,disk4w,1447488346112,1486923,589712212925
4.6042,disk8,38629604022272,62559188,672494849381652
4.6042,disk8w,4128768,601,984243925
4.6042,ram,78078558208,6823706624,276679
4.6042,cpu,14853671,21293677,512834939
4.6042,gpu,0,0,0
4.8100,disk0,872302323781632,1957473511,12396935317908639
4.8100,disk0w,1977320751104,18748613,1159715883815
4.8100,disk5,23596574701568,47526853,441796516031718
4.8100,disk5w,225980416,35966,1254168700
4.8100,disk4,28292347487232,28313659,337302479039367
4.8100,disk4w,1447488346112,1486923,589712212925
4.8100,disk8,38630756497408,62561216,672516155556194
4.8100,disk8w,4128768,601,984243925
4.8100,ram,65820803072,11023548416,276679
4.8100,cpu,14853715,21293822,512836608
4.8100,gpu,0,0,0
5.0068,disk0,872303324151808,1957475804,12396951658029042
5.0068,disk0w,1977320783872,18748615,1159715923106
5.0068,disk5,23597048477696,47527826,441809165593550
5.0068,disk5w,225980416,35966,1254168700
5.0068,disk4,28292944094208,28314238,337311179535798
5.0068,disk4w,1447488346112,1486923,589712212925
5.0068,disk8,38631614838784,62562612,672535593077750
5.0068,disk8w,4128768,601,984243925
5.0068,ram,65820803072,11023548416,276679
5.0068,cpu,14853715,21293822,512836608
5.0068,gpu,35,0,0
5.2059,disk0,872304131334144,1957477682,12396964245436484
5.2059,disk0w,1977320783872,18748615,1159715923106
5.2059,disk5,23597504706560,47528762,441821142365575
5.2059,disk5w,225980416,35966,1254168700
5.2059,disk4,28293803910144,28315074,337328412678641
5.2059,disk4w,1447488346112,1486923,589712212925
5.2059,disk8,38632957483008,62564930,672572319097839
5.2059,disk8w,4128768,601,984243925
5.2059,ram,65820803072,11023548416,276679
5.2059,cpu,14853715,21293822,512836608
5.2059,gpu,10,1,0
5.4095,disk0,872305342103552,1957480523,12396984011005249
5.4095,disk0w,1977320783872,18748615,1159715923106
5.4095,disk5,23598118860800,47530022,441838446511654
5.4095,disk5w,225980416,35966,1254168700
5.4095,disk4,28294668477440,28315913,337342249587241
5.4095,disk4w,1447488346112,1486923,589712212925
5.4095,disk8,38634307991552,62567436,672609273170736
5.4095,disk8w,4128768,601,984243925
5.4095,ram,65820803072,11023548416,276679
5.4095,cpu,14853715,21293822,512836608
5.4095,gpu,20,2,0
5.6110,disk0,872306341527552,1957482449,12397000354786482
5.6110,disk0w,1977320783872,18748615,1159715923106
5.6110,disk5,23598598928384,47531007,441850856590613
5.6110,disk5w,225980416,35966,1254168700
5.6110,disk4,28295446291456,28316668,337355363613446
5.6110,disk4w,1447488346112,1486923,589712212925
5.6110,disk8,38635616135168,62570070,672645057770016
5.6110,disk8w,4128768,601,984243925
5.6110,ram,65820803072,11023548416,276679
5.6110,cpu,14853715,21293822,512836608
5.6110,gpu,7,1,0
5.8102,disk0,872307379970048,1957484032,12397016519612540
5.8102,disk0w,1977320783872,18748615,1159715923106
5.8102,disk5,23598985492480,47531803,441859605599859
5.8102,disk5w,225980416,35966,1254168700
5.8102,disk4,28296110990336,28317313,337365501726770
5.8102,disk4w,1447488346112,1486923,589712212925
5.8102,disk8,38636970862592,62572566,672683285263019
5.8102,disk8w,4128768,601,984243925
5.8102,ram,60396060672,12387254272,276679
5.8102,cpu,14853736,21293942,512838187
5.8102,gpu,0,0,0
6.0010,disk0,872308622426112,1957492267,12397039035913086
6.0010,disk0w,1977320783872,18748615,1159715923106
6.0010,disk5,23599542335488,47532943,441873582738228
6.0010,disk5w,225980416,35966,1254168700
6.0010,disk4,28296849548288,28318030,337376813977848
6.0010,disk4w,1447488346112,1486923,589712212925
6.0010,disk8,38638281623552,62575021,672717629092435
6.0010,disk8w,4128768,601,984243925
6.0010,ram,60396060672,12387254272,276679
6.0010,cpu,14853736,21293942,512838187
6.0010,gpu,0,0,0
6.2065,disk0,872309861404672,1957508152,12397064946578023
6.2065,disk0w,1977320783872,18748615,1159715923106
6.2065,disk5,23600092862464,47534072,441889742547805
6.2065,disk5w,225980416,35966,1254168700
6.2065,disk4,28297661801472,28318818,337391809723837
6.2065,disk4w,1447488346112,1486923,589712212925
6.2065,disk8,38639696455680,62577704,672752574171698
6.2065,disk8w,4128768,601,984243925
6.2065,ram,60396060672,12387254272,276679
6.2065,cpu,14853736,21293942,512838187
6.2065,gpu,14,1,0
6.4100,disk0,872311058223104,1957510324,12397085886665562
6.4100,disk0w,1977320783872,18748615,1159715923106
6.4100,disk5,23600533092352,47534977,441901337196624
6.4100,disk5w,225980416,35966,1254168700
6.4100,disk4,28298436387840,28319571,337405587400050
6.4100,disk4w,1447488346112,1486923,589712212925
6.4100,disk8,38641008523264,62580652,672789130201251
6.4100,disk8w,4128768,601,984243925
6.4100,ram,60396060672,12387254272,276679
6.4100,cpu,14853736,21293942,512838187
6.4100,gpu,0,0,0
6.6114,disk0,872312287940608,1957512647,12397106139591447
6.6114,disk0w,1977320783872,18748615,1159715923106
6.6114,disk5,23600984832000,47535909,441912826274358
6.6114,disk5w,225980416,35966,1254168700
6.6114,disk4,28299038237696,28320156,337413927505595
6.6114,disk4w,1447488346112,1486923,589712212925
6.6114,disk8,38642205358080,62583348,672824939677736
6.6114,disk8w,4128768,601,984243925
6.6114,ram,60396060672,12387254272,276679
6.6114,cpu,14853736,21293942,512838187
6.6114,gpu,0,0,0
6.8100,disk0,872313625219072,1957515009,12397128574131593
6.8100,disk0w,1977320783872,18748615,1159715923106
6.8100,disk5,23601435293696,47536836,441924730702309
6.8100,disk5w,225980416,35966,1254168700
6.8100,disk4,28299769979904,28320868,337427177549646
6.8100,disk4w,1447488346112,1486923,589712212925
6.8100,disk8,38643582556160,62586628,672866639287552
6.8100,disk8w,4128768,601,984243925
6.8100,ram,55268294656,14747287552,276679
6.8100,cpu,14853758,21294093,512839871
6.8100,gpu,16,0,0
7.0100,disk0,872314766823424,1957517330,12397148061969032
7.0100,disk0w,1977320783872,18748615,1159715923106
