t_s,dev,v1,v2,v3
0.2050,disk0,928363208273920,2090960749,12846247381948455
0.2050,disk0w,2189372628992,19754841,1284856102077
0.2050,disk4,2942543394816,5959501,42915538854127
0.2050,disk4w,2195456,171,27582691
0.2050,disk8,3841509042176,3869695,47649829067299
0.2050,disk8w,322691072,41984,1713405139
0.2050,disk6,5460313663488,8956060,92080858203641
0.2050,disk6w,380928,53,8067940
0.2050,ram,65448869888,5521096704,282799
0.2050,cpu,15756041,22502195,541093742
0.2050,gpu,0,0,0
0.4025,disk0,928363208273920,2090960749,12846247381948455
0.4025,disk0w,2189372628992,19754841,1284856102077
0.4025,disk4,2942543394816,5959501,42915538854127
0.4025,disk4w,2195456,171,27582691
0.4025,disk8,3841509042176,3869695,47649829067299
0.4025,disk8w,322691072,41984,1713405139
0.4025,disk6,5460313663488,8956060,92080858203641
0.4025,disk6w,380928,53,8067940
0.4025,ram,65448869888,5521096704,282799
0.4025,cpu,15756041,22502195,541093742
0.4025,gpu,0,0,0
0.6018,disk0,928363208273920,2090960749,12846247381948455
0.6018,disk0w,2189372628992,19754841,1284856102077
0.6018,disk4,2942543394816,5959501,42915538854127
0.6018,disk4w,2195456,171,27582691
0.6018,disk8,3841509042176,3869695,47649829067299
0.6018,disk8w,322691072,41984,1713405139
0.6018,disk6,5460313663488,8956060,92080858203641
0.6018,disk6w,380928,53,8067940
0.6018,ram,65448869888,5521096704,282799
0.6018,cpu,15756041,22502195,541093742
0.6018,gpu,0,0,0
0.8019,disk0,928363208273920,2090960749,12846247381948455
0.8019,disk0w,2189372628992,19754841,1284856102077
0.8019,disk4,2942543394816,5959501,42915538854127
0.8019,disk4w,2195456,171,27582691
0.8019,disk8,3841509042176,3869695,47649829067299
0.8019,disk8w,322691072,41984,1713405139
0.8019,disk6,5460313663488,8956060,92080858203641
0.8019,disk6w,380928,53,8067940
0.8019,ram,65448869888,5521096704,282799
0.8019,cpu,15756041,22502195,541093742
0.8019,gpu,0,0,0
1.0018,disk0,928363208273920,2090960749,12846247381948455
1.0018,disk0w,2189372628992,19754841,1284856102077
1.0018,disk4,2942543394816,5959501,42915538854127
1.0018,disk4w,2195456,171,27582691
1.0018,disk8,3841509042176,3869695,47649829067299
1.0018,disk8w,322691072,41984,1713405139
1.0018,disk6,5460313663488,8956060,92080858203641
1.0018,disk6w,380928,53,8067940
1.0018,ram,65448869888,5521096704,282799
1.0018,cpu,15756041,22502195,541093742
1.0018,gpu,0,0,0
1.2050,disk0,928363216142336,2090961305,12846247435372350
1.2050,disk0w,2189372633088,19754842,1284856132368
1.2050,disk4,2942543394816,5959501,42915538854127
1.2050,disk4w,2195456,171,27582691
1.2050,disk8,3841509042176,3869695,47649829067299
1.2050,disk8w,322691072,41984,1713405139
1.2050,disk6,5460313663488,8956060,92080858203641
1.2050,disk6w,380928,53,8067940
1.2050,ram,65440104448,5261885440,282799
1.2050,cpu,15756101,22502242,541095576
1.2050,gpu,0,0,0
1.4050,disk0,928363218579456,2090961900,12846247474714814
1.4050,disk0w,2189372633088,19754842,1284856132368
1.4050,disk4,2942543394816,5959501,42915538854127
1.4050,disk4w,2195456,171,27582691
1.4050,disk8,3841509042176,3869695,47649829067299
1.4050,disk8w,322691072,41984,1713405139
1.4050,disk6,5460313663488,8956060,92080858203641
1.4050,disk6w,380928,53,8067940
1.4050,ram,65440104448,5261885440,282799
1.4050,cpu,15756101,22502242,541095576
1.4050,gpu,0,0,0
1.6050,disk0,928363218595840,2090961904,12846247475145187
1.6050,disk0w,2189372637184,19754843,1284856150118
1.6050,disk4,2942543394816,5959501,42915538854127
1.6050,disk4w,2195456,171,27582691
1.6050,disk8,3841509042176,3869695,47649829067299
1.6050,disk8w,322691072,41984,1713405139
1.6050,disk6,5461370677248,8957274,92089754070541
1.6050,disk6w,380928,53,8067940
1.6050,ram,65440104448,5261885440,282799
1.6050,cpu,15756101,22502242,541095576
1.6050,gpu,0,0,0
1.8050,disk0,928363218595840,2090961904,12846247475145187
1.8050,disk0w,2189372637184,19754843,1284856150118
1.8050,disk4,2942543394816,5959501,42915538854127
1.8050,disk4w,2195456,171,27582691
1.8050,disk8,3841509042176,3869695,47649829067299
1.8050,disk8w,322691072,41984,1713405139
1.8050,disk6,5462134515712,8958897,92101448483543
1.8050,disk6w,380928,53,8067940
1.8050,ram,65440104448,5261885440,282799
1.8050,cpu,15756101,22502242,541095576
1.8050,gpu,0,0,0
2.0050,disk0,928363218972672,2090961917,12846247478440808
2.0050,disk0w,2189372653568,19754847,1284856232200
2.0050,disk4,2942543394816,5959501,42915538854127
2.0050,disk4w,2195456,171,27582691
2.0050,disk8,3841509042176,3869695,47649829067299
2.0050,disk8w,322691072,41984,1713405139
2.0050,disk6,5463295150080,8962708,92126910537156
2.0050,disk6w,380928,53,8067940
2.0050,ram,65440104448,5261885440,282799
2.0050,cpu,15756101,22502242,541095576
2.0050,gpu,0,0,0
2.2025,disk0,928363534827520,2090962409,12846252537070971
2.2025,disk0w,2189372653568,19754847,1284856232200
2.2025,disk4,2942753961984,5959934,42922262738901
2.2025,disk4w,2195456,171,27582691
2.2025,disk8,3841702062080,3869883,47652370791117
2.2025,disk8w,322691072,41984,1713405139
2.2025,disk6,5464245479424,8965433,92149311610474
2.2025,disk6w,380928,53,8067940
2.2025,ram,56359354368,9459253248,282799
2.2025,cpu,15756149,22502345,541097248
2.2025,gpu,0,0,0
2.4050,disk0,928364991037440,2090964877,12846274555480181
2.4050,disk0w,2189372653568,19754847,1284856232200
2.4050,disk4,2943548889088,5961562,42945618743228
2.4050,disk4w,2195456,171,27582691
2.4050,disk8,3842606966784,3870759,47665414217119
2.4050,disk8w,322691072,41984,1713405139
2.4050,disk6,5465401010176,8966713,92172960526506
2.4050,disk6w,380928,53,8067940
2.4050,ram,56359354368,9459253248,282799
2.4050,cpu,15756149,22502345,541097248
2.4050,gpu,0,0,0
2.6050,disk0,928366816874496,2090968013,12846305524038177
2.6050,disk0w,2189372653568,19754847,1284856232200
2.6050,disk4,2944214374400,5962922,42962851666807
2.6050,disk4w,2195456,171,27582691
2.6050,disk8,3843710838784,3871834,47684533239018
2.6050,disk8w,322691072,41984,1713405139
2.6050,disk6,5466506487808,8967958,92194520242517
2.6050,disk6w,380928,53,8067940
2.6050,ram,56359354368,9459253248,282799
2.6050,cpu,15756149,22502345,541097248
2.6050,gpu,0,0,0
2.8050,disk0,928367767228416,2090969624,12846318247056716
2.8050,disk0w,2189372653568,19754847,1284856232200
2.8050,disk4,2944881416192,5964295,42983731644811
2.8050,disk4w,2195456,171,27582691
2.8050,disk8,3844364838912,3872471,47693908211884
2.8050,disk8w,322691072,41984,1713405139
2.8050,disk6,5467754207232,8970496,92224885800307
2.8050,disk6w,380928,53,8067940
2.8050,ram,56359354368,9459253248,282799
2.8050,cpu,15756149,22502345,541097248
2.8050,gpu,0,0,0
3.0050,disk0,928369312616448,2090971962,12846342074908115
3.0050,disk0w,2189372653568,19754847,1284856232200
3.0050,disk4,2945842280448,5966269,43015036712989
3.0050,disk4w,2195456,171,27582691
3.0050,disk8,3845244282880,3873324,47707321089093
3.0050,disk8w,322691072,41984,1713405139
3.0050,disk6,5468671072256,8971555,92242259988688
3.0050,disk6w,380928,53,8067940
3.0050,ram,56359354368,9459253248,282799
3.0050,cpu,15756149,22502345,541097248
3.0050,gpu,16,10,0
3.2026,disk0,928370483548160,2090973772,12846360001865765
3.2026,disk0w,2189372653568,19754847,1284856232200
3.2026,disk4,2946614360064,5967854,43041701213553
3.2026,disk4w,2195456,171,27582691
3.2026,disk8,3846001141760,3874058,47719248379812
3.2026,disk8w,322691072,41984,1713405139
3.2026,disk6,5469670463488,8972771,92266976372283
3.2026,disk6w,380928,53,8067940
3.2026,ram,54178430976,9314680832,282799
3.2026,cpu,15756190,22502487,541098840
3.2026,gpu,0,0,0
3.4050,disk0,928371817222144,2090976768,12846383240755464
3.4050,disk0w,2189372653568,19754847,1284856232200
