t_s,dev,v1,v2,v3
0.2100,disk0,891902441226240,2002946118,12543408973152030
0.2100,disk0w,1978655834112,18812765,1161475072190
0.2100,disk5,30745771530240,61901066,525373919881036
0.2100,disk5w,225980416,35966,1254168700
0.2100,disk4,34566098629632,34637973,376305633729219
0.2100,disk4w,1447546435584,1493147,590391660231
0.2100,disk8,50774815938560,82535143,829073055772118
0.2100,disk8w,4128768,601,984243925
0.2100,ram,72998289408,4389650432,278045
0.2100,cpu,14930523,21551063,516835013
0.2100,gpu,0,0,0
0.4100,disk0,891902441230336,2002946119,12543408973741196
0.4100,disk0w,1978655834112,18812765,1161475072190
0.4100,disk5,30745771530240,61901066,525373919881036
0.4100,disk5w,225980416,35966,1254168700
0.4100,disk4,34566098629632,34637973,376305633729219
0.4100,disk4w,1447546435584,1493147,590391660231
0.4100,disk8,50774815938560,82535143,829073055772118
0.4100,disk8w,4128768,601,984243925
0.4100,ram,72998289408,4389650432,278045
0.4100,cpu,14930523,21551063,516835013
0.4100,gpu,0,0,0
0.6095,disk0,891902441230336,2002946119,12543408973741196
0.6095,disk0w,1978655834112,18812765,1161475072190
0.6095,disk5,30745771530240,61901066,525373919881036
0.6095,disk5w,225980416,35966,1254168700
0.6095,disk4,34566098629632,34637973,376305633729219
0.6095,disk4w,1447546435584,1493147,590391660231
0.6095,disk8,50774815938560,82535143,829073055772118
0.6095,disk8w,4128768,601,984243925
0.6095,ram,73000927232,4376395776,278045
0.6095,cpu,14930563,21551123,516836679
0.6095,gpu,0,0,0
0.8050,disk0,891902441230336,2002946119,12543408973741196
0.8050,disk0w,1978655834112,18812765,1161475072190
0.8050,disk5,30745771530240,61901066,525373919881036
0.8050,disk5w,225980416,35966,1254168700
0.8050,disk4,34566098629632,34637973,376305633729219
0.8050,disk4w,1447546435584,1493147,590391660231
0.8050,disk8,50774815938560,82535143,829073055772118
0.8050,disk8w,4128768,601,984243925
0.8050,ram,73000927232,4376395776,278045
0.8050,cpu,14930563,21551123,516836679
0.8050,gpu,0,0,0
1.0041,disk0,891902441230336,2002946119,12543408973741196
1.0041,disk0w,1978655834112,18812765,1161475072190
1.0041,disk5,30745771530240,61901066,525373919881036
1.0041,disk5w,225980416,35966,1254168700
1.0041,disk4,34566098629632,34637973,376305633729219
1.0041,disk4w,1447546435584,1493147,590391660231
1.0041,disk8,50774815938560,82535143,829073055772118
1.0041,disk8w,4128768,601,984243925
1.0041,ram,73000927232,4376395776,278045
1.0041,cpu,14930563,21551123,516836679
1.0041,gpu,0,0,0
1.2086,disk0,891902447087616,2002946234,12543408990775027
1.2086,disk0w,1978655834112,18812765,1161475072190
1.2086,disk5,30745771530240,61901066,525373919881036
1.2086,disk5w,225980416,35966,1254168700
1.2086,disk4,34566098629632,34637973,376305633729219
1.2086,disk4w,1447546435584,1493147,590391660231
1.2086,disk8,50774815938560,82535143,829073055772118
1.2086,disk8w,4128768,601,984243925
1.2086,ram,73000927232,4376395776,278045
1.2086,cpu,14930563,21551123,516836679
1.2086,gpu,0,0,0
1.4022,disk0,891902447194112,2002946240,12543408992846317
1.4022,disk0w,1978655838208,18812766,1161475089898
1.4022,disk5,30745771530240,61901066,525373919881036
1.4022,disk5w,225980416,35966,1254168700
1.4022,disk4,34566098629632,34637973,376305633729219
1.4022,disk4w,1447546435584,1493147,590391660231
1.4022,disk8,50774883129344,82535328,829074018809215
1.4022,disk8w,4128768,601,984243925
1.4022,ram,73000927232,4376395776,278045
1.4022,cpu,14930563,21551123,516836679
1.4022,gpu,0,0,0
1.6100,disk0,891902447194112,2002946240,12543408992846317
1.6100,disk0w,1978655838208,18812766,1161475089898
1.6100,disk5,30745771530240,61901066,525373919881036
1.6100,disk5w,225980416,35966,1254168700
1.6100,disk4,34566098629632,34637973,376305633729219
1.6100,disk4w,1447546435584,1493147,590391660231
1.6100,disk8,50775990720512,82536471,829082793935596
1.6100,disk8w,4128768,601,984243925
1.6100,ram,71620362240,5596921856,278045
1.6100,cpu,14930605,21551174,516838470
1.6100,gpu,0,0,0
1.8051,disk0,891902773993472,2002947430,12543409799828296
1.8051,disk0w,1978655838208,18812766,1161475089898
1.8051,disk5,30745771530240,61901066,525373919881036
1.8051,disk5w,225980416,35966,1254168700
1.8051,disk4,34566098629632,34637973,376305633729219
1.8051,disk4w,1447546435584,1493147,590391660231
1.8051,disk8,50775990720512,82536471,829082793935596
1.8051,disk8w,4128768,601,984243925
1.8051,ram,71620362240,5596921856,278045
1.8051,cpu,14930605,21551174,516838470
1.8051,gpu,0,0,0
2.0100,disk0,891903377973248,2002948868,12543410823368033
2.0100,disk0w,1978655838208,18812766,1161475089898
2.0100,disk5,30745771530240,61901066,525373919881036
2.0100,disk5w,225980416,35966,1254168700
2.0100,disk4,34566098629632,34637973,376305633729219
2.0100,disk4w,1447546435584,1493147,590391660231
2.0100,disk8,50775990720512,82536471,829082793935596
2.0100,disk8w,4128768,601,984243925
2.0100,ram,71620362240,5596921856,278045
2.0100,cpu,14930605,21551174,516838470
2.0100,gpu,0,0,0
2.2100,disk0,891903646314496,2002949391,12543411226070785
2.2100,disk0w,1978655838208,18812766,1161475089898
2.2100,disk5,30745771530240,61901066,525373919881036
2.2100,disk5w,225980416,35966,1254168700
2.2100,disk4,34566098629632,34637973,376305633729219
2.2100,disk4w,1447546435584,1493147,590391660231
2.2100,disk8,50775990720512,82536471,829082793935596
2.2100,disk8w,4128768,601,984243925
2.2100,ram,71620362240,5596921856,278045
2.2100,cpu,14930605,21551174,516838470
2.2100,gpu,0,0,0
2.4100,disk0,891903646621696,2002949398,12543411227362991
2.4100,disk0w,1978655838208,18812766,1161475089898
2.4100,disk5,30745771530240,61901066,525373919881036
2.4100,disk5w,225980416,35966,1254168700
2.4100,disk4,34566098629632,34637973,376305633729219
2.4100,disk4w,1447546435584,1493147,590391660231
2.4100,disk8,50776869525504,82538456,829097427981311
2.4100,disk8w,4128768,601,984243925
2.4100,ram,71620362240,5596921856,278045
2.4100,cpu,14930605,21551174,516838470
2.4100,gpu,0,0,0
2.6100,disk0,891903646629888,2002949400,12543411227643490
2.6100,disk0w,1978655838208,18812766,1161475089898
2.6100,disk5,30745771530240,61901066,525373919881036
2.6100,disk5w,225980416,35966,1254168700
2.6100,disk4,34566098629632,34637973,376305633729219
2.6100,disk4w,1447546435584,1493147,590391660231
2.6100,disk8,50778058504192,82542743,829124715812629
2.6100,disk8w,4128768,601,984243925
2.6100,ram,62465179648,9363128320,278045
2.6100,cpu,14930687,21551257,516840187
2.6100,gpu,88,0,0
2.8035,disk0,891904190595072,2002950356,12543419552519627
2.8035,disk0w,1978655838208,18812766,1161475089898
2.8035,disk5,30746119682048,61901774,525387366623759
2.8035,disk5w,225980416,35966,1254168700
2.8035,disk4,34566456701952,34638320,376310055112392
2.8035,disk4w,1447546435584,1493147,590391660231
2.8035,disk8,50778913904640,82544672,829143518382406
2.8035,disk8w,4128768,601,984243925
2.8035,ram,61117595648,8834072576,278045
2.8035,cpu,14930687,21551258,516840190
2.8035,gpu,0,0,0
3.0100,disk0,891905752301568,2002952991,12543445170548240
3.0100,disk0w,1978655838208,18812766,1161475089898
3.0100,disk5,30746947196928,61903478,525413878843147
3.0100,disk5w,225980416,35966,1254168700
3.0100,disk4,34567409579008,34639244,376325707707630
3.0100,disk4w,1447546435584,1493147,590391660231
3.0100,disk8,50780063225856,82545958,829168177176356
3.0100,disk8w,4128768,601,984243925
3.0100,ram,61117595648,8834072576,278045
3.0100,cpu,14930687,21551258,516840190
3.0100,gpu,0,0,0
3.2039,disk0,891907517091840,2002955976,12543472985939797
3.2039,disk0w,1978655838208,18812766,1161475089898
3.2039,disk5,30747624757248,61904864,525430458345080
3.2039,disk5w,225980416,35966,1254168700
3.2039,disk4,34568440558592,34640247,376341901299086
3.2039,disk4w,1447546435584,1493147,590391660231
3.2039,disk8,50781214283776,82547274,829191119534296
3.2039,disk8w,4128768,601,984243925
3.2039,ram,61117595648,8834072576,278045
3.2039,cpu,14930687,21551258,516840190
3.2039,gpu,0,0,0
3.4030,disk0,891908417671168,2002957464,12543486041910275
3.4030,disk0w,1978655838208,18812766,1161475089898
3.4030,disk5,30748306724864,61906266,525453086167141
3.4030,disk5w,225980416,35966,1254168700
3.4030,disk4,34569091101696,34640882,376351985142807
3.4030,disk4w,1447546435584,1493147,590391660231
3.4030,disk8,50782477944832,82549829,829223458667450
3.4030,disk8w,4128768,601,984243925
3.4030,ram,61117595648,8834072576,278045
3.4030,cpu,14930687,21551258,516840190
3.4030,gpu,11,2,0
3.6055,disk0,891910102089728,2002960078,12543511907357230
3.6055,disk0w,1978655862784,18812769,1161475132606
3.6055,disk5,30749099259904,61907891,525476937698604
3.6055,disk5w,225980416,35966,1254168700
3.6055,disk4,34569976067072,34641740,376365563664399
3.6055,disk4w,1447546435584,1493147,590391660231
3.6055,disk8,50783348525056,82550818,829238939990753
3.6055,disk8w,4128768,601,984243925
3.6055,ram,61117595648,8834072576,278045
3.6055,cpu,14930687,21551258,516840190
3.6055,gpu,0,0,0
3.8002,disk0,891910911246336,2002961262,12543523545411087
3.8002,disk0w,1978655862784,18812769,1161475132606
3.8002,disk5,30749842495488,61909419,525503449021377
3.8002,disk5w,225980416,35966,1254168700
3.8002,disk4,34570590729216,34642336,376374953630457
3.8002,disk4w,1447546435584,1493147,590391660231
3.8002,disk8,50784302680064,82552117,829261298191501
3.8002,disk8w,4128768,601,984243925
3.8002,ram,58940342272,8409513984,278045
3.8002,cpu,14930715,21551395,516841903
3.8002,gpu,58,1,0
4.0100,disk0,891911771648000,2002963300,12543538324305721
4.0100,disk0w,1978655948800,18812774,1161475201147
4.0100,disk5,30750228535296,61910211,525515079210364
4.0100,disk5w,225980416,35966,1254168700
4.0100,disk4,34571046958080,34642779,376382023431474
4.0100,disk4w,1447546435584,1493147,590391660231
4.0100,disk8,50785168271360,82553711,829275131810720
4.0100,disk8w,4128768,601,984243925
4.0100,ram,58940342272,8409513984,278045
4.0100,cpu,14930715,21551395,516841903
4.0100,gpu,19,0,0
4.2100,disk0,891913456189440,2002966937,12543567856092944
4.2100,disk0w,1978661842944,18812961,1161485335342
4.2100,disk5,30750807595008,61911399,525529326516386
4.2100,disk5w,225980416,35966,1254168700
4.2100,disk4,34572012057600,34643717,376398490126280
4.2100,disk4w,1447546435584,1493147,590391660231
4.2100,disk8,50786191304704,82555078,829300251021946
4.2100,disk8w,4128768,601,984243925
4.2100,ram,58940342272,8409513984,278045
4.2100,cpu,14930715,21551395,516841903
4.2100,gpu,20,0,0
4.4100,disk0,891914438836224,2002969278,12543583940604473
4.4100,disk0w,1978661847040,18812962,1161485351092
4.4100,disk5,30751369107456,61912551,525546099395087
4.4100,disk5w,225980416,35966,1254168700
4.4100,disk4,34572713948160,34644398,376411397214920
4.4100,disk4w,1447546435584,1493147,590391660231
4.4100,disk8,50787247171584,82557047,829325516418431
4.4100,disk8w,4128768,601,984243925
4.4100,ram,58940342272,8409513984,278045
4.4100,cpu,14930715,21551395,516841903
4.4100,gpu,0,0,0
4.6100,disk0,891916333940736,2002974346,12543615468637689
4.6100,disk0w,1978661847040,18812962,1161485351092
4.6100,disk5,30752305747968,61914472,525573630546854
4.6100,disk5w,225980416,35966,1254168700
4.6100,disk4,34573885486080,34645534,376431145739525
4.6100,disk4w,1447546435584,1493147,590391660231
4.6100,disk8,50788526049280,82558909,829354999797008
4.6100,disk8w,4128768,601,984243925
4.6100,ram,58940342272,8409513984,278045
4.6100,cpu,14930715,21551395,516841903
4.6100,gpu,0,0,0
4.8100,disk0,891917193756672,2002976383,12543629271685439
4.8100,disk0w,1978661847040,18812962,1161485351092
4.8100,disk5,30752825530368,61915541,525590984884817
4.8100,disk5w,225980416,35966,1254168700
4.8100,disk4,34574410855424,34646045,376439544060930
4.8100,disk4w,1447546435584,1493147,590391660231
4.8100,disk8,50789727619072,82560949,829386223908867
4.8100,disk8w,4128768,601,984243925
4.8100,ram,54848274432,10751393792,278045
4.8100,cpu,14930759,21551553,516843575
4.8100,gpu,0,0,0
5.0100,disk0,891918458912768,2002979114,12543649392160409
5.0100,disk0w,1978661847040,18812962,1161485351092
5.0100,disk5,30753488173056,61916904,525609362047172
5.0100,disk5w,225980416,35966,1254168700
5.0100,disk4,34575429858304,34647035,376458945292400
5.0100,disk4w,1447546435584,1493147,590391660231
5.0100,disk8,50790863431680,82563014,829420131983271
5.0100,disk8w,4128768,601,984243925
5.0100,ram,54848274432,10751393792,278045
5.0100,cpu,14930759,21551553,516843575
5.0100,gpu,0,0,0
5.2100,disk0,891919352070144,2002981221,12543663383861071
5.2100,disk0w,1978661847040,18812962,1161485351092
5.2100,disk5,30754001197056,61917957,525623773311293
5.2100,disk5w,225980416,35966,1254168700
5.2100,disk4,34576240948224,34647824,376473090662063
5.2100,disk4w,1447546435584,1493147,590391660231
5.2100,disk8,50792167516160,82564930,829461956391541
5.2100,disk8w,4128768,601,984243925
5.2100,ram,54848274432,10751393792,278045
5.2100,cpu,14930759,21551553,516843575
5.2100,gpu,0,0,0
5.4100,disk0,891920211886080,2002983138,12543676831617763
5.4100,disk0w,1978661871616,18812968,1161487039797
5.4100,disk5,30754500556800,61918975,525637522414169
5.4100,disk5w,225980416,35966,1254168700
5.4100,disk4,34576898208768,34648462,376483370422968
5.4100,disk4w,1447546435584,1493147,590391660231
5.4100,disk8,50793129334784,82566742,829479864526194
5.4100,disk8w,4128768,601,984243925
5.4100,ram,54848274432,10751393792,278045
5.4100,cpu,14930759,21551553,516843575
5.4100,gpu,0,0,0
5.6100,disk0,891921176985600,2002984956,12543691932503576
5.6100,disk0w,1978661871616,18812968,1161487039797
5.6100,disk5,30755176863744,61920374,525659566618189
5.6100,disk5w,225980416,35966,1254168700
5.6100,disk4,34577960580096,34649494,376507299877958
5.6100,disk4w,1447546435584,1493147,590391660231
5.6100,disk8,50793936508928,82568307,829502406467426
5.6100,disk8w,4128768,601,984243925
5.6100,ram,54848274432,10751393792,278045
5.6100,cpu,14930759,21551553,516843575
5.6100,gpu,16,2,0
5.8078,disk0,891922493030400,2002987391,12543712834162634
5.8078,disk0w,1978661871616,18812968,1161487039797
5.8078,disk5,30755787520000,61921619,525675597389151
5.8078,disk5w,225980416,35966,1254168700
5.8078,disk4,34579118699520,34650619,376529925998784
5.8078,disk4w,1447546435584,1493147,590391660231
5.8078,disk8,50794884061184,82569932,829525080656545
5.8078,disk8w,4128768,601,984243925
5.8078,ram,53428912128,11594760192,278045
5.8078,cpu,14930793,21551683,516845365
5.8078,gpu,0,0,0
6.0100,disk0,891923159826432,2002988904,12543723043922344
6.0100,disk0w,1978661871616,18812968,1161487039797
6.0100,disk5,30756563097600,61923219,525702723012294
6.0100,disk5w,225980416,35966,1254168700
6.0100,disk4,34579925873664,34651404,376545151060770
6.0100,disk4w,1447546435584,1493147,590391660231
6.0100,disk8,50795688056832,82571271,829538905285973
6.0100,disk8w,4128768,601,984243925
6.0100,ram,53431123968,11594760192,278045
6.0100,cpu,14930794,21551685,516845409
6.0100,gpu,69,0,0
6.2100,disk0,891924361867264,2002990844,12543740938146273
6.2100,disk0w,1978661871616,18812968,1161487039797
6.2100,disk5,30757199665152,61924520,525719884038076
6.2100,disk5w,225980416,35966,1254168700
6.2100,disk4,34580795962368,34652247,376558710727206
6.2100,disk4w,1447546435584,1493147,590391660231
6.2100,disk8,50797051312128,82573602,829576539808329
6.2100,disk8w,4128768,601,984243925
6.2100,ram,53431123968,11594760192,278045
6.2100,cpu,14930794,21551685,516845409
6.2100,gpu,11,2,0
6.4100,disk0,891925955014656,2002993225,12543767953570728
6.4100,disk0w,1978661871616,18812968,1161487039797
6.4100,disk5,30757873965056,61925904,525738426803483
6.4100,disk5w,225980416,35966,1254168700
6.4100,disk4,34581746103296,34653171,376573838612271
6.4100,disk4w,1447546435584,1493147,590391660231
6.4100,disk8,50798196291584,82575272,829607444114200
6.4100,disk8w,4128768,601,984243925
6.4100,ram,53431123968,11594760192,278045
6.4100,cpu,14930794,21551685,516845409
6.4100,gpu,0,0,0
6.6100,disk0,891927019479040,2002996240,12543785392048714
6.6100,disk0w,1978661871616,18812968,1161487039797
6.6100,disk5,30758380492800,61926938,525751317882371
6.6100,disk5w,225980416,35966,1254168700
6.6100,disk4,34582501405696,34653904,376584722043569
6.6100,disk4w,1447546435584,1493147,590391660231
6.6100,disk8,50799402317824,82577420,829635502107940
6.6100,disk8w,4128768,601,984243925
6.6100,ram,53431123968,11594760192,278045
6.6100,cpu,14930794,21551685,516845409
6.6100,gpu,0,0,0
6.8022,disk0,891927888248832,2003025741,12543813013728836
6.8022,disk0w,1978661871616,18812968,1161487039797
6.8022,disk5,30758972315648,61928161,525772570770225
